Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5021111111111111
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.49722222222222223
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.49633333333333335
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4981111111111111
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.49266666666666664
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5093333333333333
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4915555555555556
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.49
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.4978888888888889
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.4908888888888889
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.494
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [242, 199, 505], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.4988888888888889
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5082222222222222
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.483
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5097777777777778
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 0.0001, Accuracy: 0.5141111111111111
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.49855555555555553
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [507, 268, 253], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5115555555555555
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-06, Accuracy: 0.5085555555555555
Model: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [455, 185, 140], Dropout Rate: 0.1, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 0.5078888888888888
