Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 50.37
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 50.29
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 49.98
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 50.26
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 49.73
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 49.02
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 46.92
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [499, 219, 166], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 48.19
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 48.73
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [469, 213, 177], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 48.96
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.15, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 49.12
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 49.51
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 46.78
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.2, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-05, Accuracy: 47.51
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 5e-06, Accuracy: 48.03
Model: Activation function: relu, Optimiser: SGDMomentumOptimiser, Hidden Units: [467, 230, 181], Dropout Rate: 0.25, Epoch: 30, Batch Size: 128, L2 Lambda: 1e-05, Accuracy: 46.78
